stake_address,payment_address,reward
stake1ux3vxaxk55ndtyh9q3g4hngr7lgs005tr66h3yd8xhhfrvctt3rlu, addr1q8vj0tsp5vjfsnua57rgtnr8ju2hyusnepm9vlup8vzhwsazcd6ddffx6kfw2pz3t0xs8a73q7lgk8440zg6wd0wjxesgtha6e,7588
stake1ux3dgjxetgrara3d9cxv38qpnk4dvdrq9jvv880vvhy02lgz4ec2d, addr1qy20f09ffds2mpnlvu35ak9yfy2verh4aud6xvvlum2kml9z63ydjks868mz6tsvezwqr8d26c6xqtyccww7cewg747saueelt,6061
stake1u9x5nfpmkhzvr8rfruj0v8rvvz5uthzw8z9cr232mx9cstgx6mfyc, addr1q9cv4lk9x4p3dpqmtxnnf05xpgqhzm78zmhzxrjl3vgm28jdfxjrhdwycxwxj8ey7cwxcc9fchwyuwytsx4z4kvt3qks9vy6z8,5885
stake1ux36twkau2lnx2hflrqwj0g9rktxs0w5yhl28ysg58gr7ssql06c5, addr1q9v792aplv9tccd7u86lnfmj695pk6wunvuu2zp3l5h6sr4r5kadmc4lxv4wn7xqay7s28vkdq7agf075wfq3gws8apqagpnxm,5645
stake1ux95u2gqzealfr5csqampmgv6lp0dd5e5zr3d699yz6s07gap6m7f, addr1q97zqkf4mdr7xf60mrulm85vlprtz2gl4mmyxr5n880px3utfc5sq9nm7j8f3qpmkrkse47z76mfngy8zm522g94qlusvydjul,5487
stake1uygw7nqp27807pm5a29h37a6vaptz59w569a8s2upqg25zs5k7m68, addr1q966nnj0phqfh3694djhwwqk4na2j5tdmdtym7yl5wtjrqqsaaxqz4uwlurhf65t0ram5e6zk9g2af5t60q4czqs4g9qeax8kj,5189
stake1uyjkw5z8yq5nqehsuh8zxrlh5sp2zkmqlcvu6h9lup9s2vsvngxtc, addr1q8empm6nq3z3h35uarg6740t7wt24z5k3qklupvqerlpjv39vagywgpfxpn0pewwyv8l0fqz59dkplsee4wtlcztq5eqryhk62,4935
stake1uy3wjx8z7g433fdwyvvv44z8gjefgzl8eelcllzgqkusflc7jwv5z, addr1qym63scpyh7uxj7ycmylxdalq3pc5ynswf6lrpry0wjfw8fzayvw9u3trzj6ugccet2yw39jjs970nnl3l7yspdeqnlsgzxmy6,4273
stake1uye2yfeucga3uzv4g3suz6g5l4swps6aqr5jn9hzed4hmdq0zenh2, addr1q9mpzqyt8hn9u3heqsk78gwk5r9nd2ah9tcgvhsgrqhs073j5gnnes3mrcye23rpc953fltqurp46q8f9xtw9jmt0k6qlev0cz,3608
stake1u9redrfy7t8ptsxz48eaq856ncekmkdfz4kdjsjnfxxnf9qc9jh59, addr1q9k3xqqauf8duvtgmqgvaxmyh0jj6ukwcjmsnyh08ya6jvz8j6xjfukwzhqv920n6q0f483ndhv6j9tvm9p9xjvdxj2q7gjtye,3439
stake1uxjt87lcu9e4jq3lhstatgqa37g3fft3g6d0qasjrls3g2sr4vn5a, addr1q9padvtk9qcylzmsmla53pvle4l83euzj3dawzjqk64z2cayk0al3ctntyprl0qh6kspmru3zjjhz3567pmpy8lpzs4qapdes4,3287
stake1uyaht4ha3pj8ecu9ulsvkt3r8kya2wflpwx3w4hgya8s7es43d422, addr1qypjadf6npuyhutvlzju55f9eah2t43c2255c530mcg5f8fmwht0mzry0n3ctelqevhzx0vf65un7zudzatwsf60panqzwzqzh,2804
